race_id,round,circuit_id,constructor_id,team_points,dnf_count,track_type,grid_best,grid_mean,hist_circuit_points,form_last3,form_todate,dnf_rate_todate
10,9,silverstone,audi,4.0,1,alta_velocidade,11,12.0,2.5,0.0,0.25,0.5
10,9,silverstone,cadillac,0.0,0,alta_velocidade,18,19.0,6.0285714285714285,0.0,0.0,0.75
10,9,silverstone,ferrari,40.0,0,alta_velocidade,2,2.5,14.8125,19.0,22.0,0.25
10,9,silverstone,haas,0.0,0,alta_velocidade,14,15.5,1.0,0.6666666666666666,2.5,0.375
10,9,silverstone,mclaren,12.0,0,alta_velocidade,6,7.0,12.625,17.666666666666668,15.5,0.625
10,9,silverstone,mercedes,18.0,0,alta_velocidade,1,2.5,0.6875,27.666666666666668,33.5,0.25
10,9,silverstone,rb,14.0,0,alta_velocidade,9,9.5,0.0,7.666666666666667,5.125,0.25
10,9,silverstone,red_bull,10.0,1,alta_velocidade,5,6.0,7.125,19.333333333333332,13.625,0.5
10,9,silverstone,williams,0.0,1,alta_velocidade,15,15.5,5.026785714285714,1.3333333333333333,1.375,0.5
3541,10,spa,alpine,1.0,0,alta_velocidade,12,12.5,0.9285714285714286,3.3333333333333335,6.555555555555555,0.1111111111111111
3541,10,spa,aston_martin,0.0,1,alta_velocidade,21,21.5,2.757142857142857,0.0,0.1111111111111111,1.0
3541,10,spa,audi,4.0,0,alta_velocidade,9,11.5,1.5,1.3333333333333333,0.6666666666666666,0.5555555555555556
3541,10,spa,cadillac,0.0,1,alta_velocidade,19,19.5,7.083333333333333,0.0,0.0,0.6666666666666666
3541,10,spa,ferrari,30.0,0,alta_velocidade,5,5.5,12.464285714285715,26.333333333333332,24.0,0.2222222222222222
3541,10,spa,haas,0.0,0,alta_velocidade,16,17.0,2.0833333333333335,0.0,2.2222222222222223,0.3333333333333333
3541,10,spa,mclaren,16.0,0,alta_velocidade,3,5.0,10.023809523809524,18.333333333333332,15.11111111111111,0.5555555555555556
3541,10,spa,mercedes,25.0,1,alta_velocidade,1,2.5,2.7857142857142856,25.333333333333332,31.77777777777778,0.2222222222222222
3541,10,spa,rb,2.0,0,alta_velocidade,8,9.5,4.0,7.666666666666667,6.111111111111111,0.2222222222222222
3541,10,spa,red_bull,23.0,0,alta_velocidade,2,6.0,7.321428571428571,18.666666666666668,13.222222222222221,0.5555555555555556
3541,10,spa,williams,0.0,0,alta_velocidade,15,16.0,3.928571428571429,0.0,1.2222222222222223,0.5555555555555556
3543,11,hungaroring,alpine,0.0,0,tecnica,12,12.5,1.3571428571428572,1.3333333333333333,6.0,0.1
3543,11,hungaroring,aston_martin,0.0,0,tecnica,16,18.0,4.228571428571429,0.0,0.1,1.0
3543,11,hungaroring,audi,2.0,0,tecnica,10,12.0,4.0,2.6666666666666665,1.0,0.5
3543,11,hungaroring,cadillac,0.0,2,tecnica,21,21.5,4.666666666666667,0.0,0.0,0.7
3543,11,hungaroring,ferrari,22.0,0,tecnica,2,2.5,11.785714285714285,28.0,24.6,0.2
3543,11,hungaroring,haas,0.0,0,tecnica,15,16.0,2.25,0.0,2.0,0.3
3543,11,hungaroring,mclaren,25.0,1,tecnica,1,3.0,13.761904761904763,15.333333333333334,15.2,0.5
3543,11,hungaroring,mercedes,21.0,0,tecnica,4,5.5,3.857142857142857,27.666666666666668,31.1,0.3
3543,11,hungaroring,rb,5.0,0,tecnica,9,10.0,4.0,6.333333333333333,5.7,0.2
3543,11,hungaroring,red_bull,26.0,0,tecnica,6,7.0,7.285714285714286,19.666666666666668,14.2,0.5
3543,11,hungaroring,williams,0.0,0,tecnica,18,18.5,4.559523809523809,0.0,1.1,0.5
3544,12,zandvoort,alpine,1.0,0,tecnica,11,12.5,2.9,1.3333333333333333,5.454545454545454,0.09090909090909091
3544,12,zandvoort,aston_martin,2.0,1,tecnica,18,18.5,4.7,0.0,0.09090909090909091,0.9090909090909091
3544,12,zandvoort,audi,4.0,0,tecnica,9,11.0,0.0,3.3333333333333335,1.0909090909090908,0.45454545454545453
3544,12,zandvoort,cadillac,0.0,1,tecnica,21,21.5,6.125,0.0,0.0,0.8181818181818182
3544,12,zandvoort,ferrari,22.0,0,tecnica,5,5.5,8.3,30.666666666666668,24.363636363636363,0.18181818181818182
3544,12,zandvoort,haas,0.0,2,tecnica,15,17.5,4.6,0.0,1.8181818181818181,0.2727272727272727
3544,12,zandvoort,mclaren,33.0,0,tecnica,1,2.5,10.4,17.666666666666668,16.09090909090909,0.5454545454545454
3544,12,zandvoort,mercedes,33.0,0,tecnica,2,2.5,3.6,21.333333333333332,30.181818181818183,0.2727272727272727
3544,12,zandvoort,rb,0.0,0,tecnica,10,11.0,,7.0,5.636363636363637,0.18181818181818182
3544,12,zandvoort,red_bull,6.0,1,tecnica,7,7.5,11.2,19.666666666666668,15.272727272727273,0.45454545454545453
3544,12,zandvoort,williams,0.0,1,tecnica,16,16.5,4.75,0.0,1.0,0.45454545454545453
